Food Title,Author Name,Image URL,Recipe URL
Boondi Ki Kheer Recipe,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Donna_George/Boondi_Ka_Kheer_Recipe-3_400x320.jpg,https://www.archanaskitchen.com/boondi-ki-kheer-recipe
Hyderabadi Shahi Mixed Vegetable Curry Recipe,Lubna Karim,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Lubna_Karim/Hyderababi_Shahi_Mixed_Vegetable_Curry_400x320.jpg,https://www.archanaskitchen.com/hyderabadi-shahi-mixed-vegetable-curry-recipe
Broccoli Orange Asian Salad Recipe,Gauravi Vinay,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Gauravi_Vinay/Broccoliorange_Asian_salad_400x320.jpg,https://www.archanaskitchen.com/broccoli-orange-asian-salad-recipe
Hyderabadi Khadi Masoor Dal Recipe - Hyderabadi Style Lentil Curry,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/Indian_Dal_Khadi_Curry/Hyderabadi_Khadi_Masoor_Ki_Dal_Recipe_1_400x320.jpg,https://www.archanaskitchen.com/hyderabadi-khadi-masoor-ki-dal-hyderabadi-style-lentil-curry
"Sichuan Style Zhong Shui Jiao Recipe (Caramelized Onion, Cabbage And Peas Dumplings in Red Oil Recipe)",Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2016/oct-20/Sichuan_Zhong_Shui_Jiao_Recipe_Cabbage_And_Roasted_Onion_Dumplings_in_Red_Oil_Recipe-1_400x320.jpg,https://www.archanaskitchen.com/sichuan-style-zhong-shui-jiao-recipe-caramelized-onion-cabbage-and-peas-dumplings-in-red-oil-recipe
Mixed Vegetable Sagu Recipe - Karnataka Style Vegetable Kurma Recipe,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/sibyl_sunitha/Mixed_Vegetable_Saagu_Recipe_Karnataka_Style_Mixed_Vegetable_Kurma-6_400x320.jpg,https://www.archanaskitchen.com/karnataka-style-mixed-vegetable-saagu-recipe-spicy-vegetable-coconut-gravy-recipe
Rose Flavoured Shahi Tukda Recipe,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/garimasgautam-gmail.com/Rose_Shahi_Tukda_Recipe-2_400x320.jpg,https://www.archanaskitchen.com/rose-flavoured-shahi-tukda-recipe
no-title,Malvika Hada,no-image,no-url
Punjabi Kadhi Pakora Recipe,Archana Doshi,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/jan-5/Punjabi_Kadhi_Pakora_Recipe-0803_400x320.jpg,https://www.archanaskitchen.com/best-punjabi-kadhi-pakora-spicy-yogurt-curry-with-spinach-dumplings
"Healthy Waffles with Greek Yogurt, Figs and Sweet Dukkah Recipe",Gauravi Vinay,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Gauravi_Vinay/Healthy_waffles_with_greek_yogurt_figs_and_sweet_Dukkah_400x320.jpg,https://www.archanaskitchen.com/healthy-waffles-with-greek-yogurt-figs-and-sweet-dukkah
Karwar NKGSB style Vataane Ananasaa Shaak Recipe- Pineapple & Whites Peas Sabzi,Pooja Pandit,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/panditp253-gmail.com/Vataane_Ananasaa_Shaak_400x320.jpg,https://www.archanaskitchen.com/vataane-ananasaa-shaak
Gulab Jamun Trifle Recipe,Swathy Nandhini,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/swathynandhini/GULAB_JAMUN_TRIFLE_400x320.jpg,https://www.archanaskitchen.com/gulab-jamun-trifle-recipe
no-title,Malvika Hada,no-image,no-url
Muttai Parotta Recipe ( Ande Ka Paratha / Egg Filled Flat Bread),Archana Doshi,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/Indian_Breads/Muttai_Parotta_Anda_Paratha_Recipe-3_400x320.jpg,https://www.archanaskitchen.com/muttai-parotta-recipe-ande-ka-paratha-egg-filled-flat-bread
Pissaladiere Recipe - Provencal Onion Tart Recipe,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/World_Appetizers/Pissaladiere_Recipe_Provencal_Onion_Tart_Recipe-1_400x320.jpg,https://www.archanaskitchen.com/pissaladiere-recipe-provencal-onion-tart-recipe
Goan Style Mushroom Vindaloo Recipe,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2016/sept-26/Goan_Style_Mushroom_Vindaloo_Recipe-1_400x320.jpg,https://www.archanaskitchen.com/goan-style-mushroom-vindaloo-recipe
Kashmiri Monj Haakh Recipe - Knol Khol Flavored With Asafoetida,Shaheen Ali,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Shaheen_Ali/MUNJ_HAAKH__KNOL_KHOL_FLAVORED_WITH_ASAFOETIDA_KASHMIRI_VEG_400x320.jpg,https://www.archanaskitchen.com/kashmiri-munj-haakh-recipe-knol-khol-flavored-with-asafoetida
